```
D:\dev\blog\monblue.github.io\_apps\_myApps node replaceBook.js
```

용어(한자)	동의어(한자)
蓄血	
痰飮	
懸飮	
溢飮	
支飮	
伏飮	
微飮	
留飮	
汗證	汗病
脫汗	
消渴	消渴病
上消	
中消	
下消	
虛勞	
勞倦	
積聚	癥瘕
厥	厥證
薄厥	
藏厥	臟厥
食厥	
熱厥	煎厥
寒厥	
風厥	
氣厥	
血厥	
痰厥	
眞頭痛	
頭風	腦風
偏頭風	
雷頭風	
痹病	
行痹	風痹
痛痹	寒痹
着痹	濕痹
熱痹	
歷節風	
骨痹	
肌痹	
血痹	
脈痹	
心痹	
腸痹	
痙病	
柔痙	
剛痙	
痿病	
肺痿	
骨痿	腎痿
脈痿	心痿
肉痿	脾痿
筋痿	肝痿
痿躄	
顫震	
腰痛	
疝	疝氣
疝	小腸氣
寒疝	
外科	
瘡瘍	
瘡	
潰瘍	
腫瘍	
髮際瘡	
坐板瘡	
臁瘡	
褥瘡	
癤	
螻蛄癤	
癤病	
疔	
蛇頭疔	
疫疔	
癰	
頸癰	
腋癰	
委中毒	
臍癰	
臀癰	
腸癰	
發	
手發背	
足發背	
有頭疽	
附骨疽	
環跳疽	
脫疽	
流注	
發頤	
丹毒	火丹
赤遊丹	
流痰	骨癆
瘰癧	
乳癰	
內吹乳癰	
外吹乳癰	
乳發	
乳癆	乳痰
乳癧	
乳漏	
乳衄	
乳癖	
乳頭風	
癭	
氣癭	
肉癭	
石癭	
瘤	
氣瘤	
血瘤	
筋瘤	
肉瘤	
骨瘤	
巖	
繭脣	
失榮	
乳巖	
疹	
斑疹	
丘疹	
膿皰	
痂	
結核	
息肉	
漏	
熱瘡	
蛇丹	蛇串瘡, 纏腰火丹, 纏腰蛇丹, 火帶瘡
疣	
疣目	
鷄眼	肉刺
肥瘡	
鵝掌風	
紫白癜風	
白癜風	白駁風
疥瘡	疥癩
癮疹	風癮疹
乾癬	
牛皮癬	
白疕	松皮癬
面遊風	
粉刺	酒刺
油風	
貓眼瘡	
瓜藤纏	
皮痹	
痔	
內痔	
外痔	
肛漏	肛瘻
脫肛	
息肉痔	
子癰	
囊癰	
水疝	
凍瘡	凍風
破傷風	金瘡痙
靑蛇毒	
股腫	
狐惑	狐惑病
婦産科	産婦人科
並月	
居經	季經
避年	
五不女	
激經	垢胎
臨産	
試胎	試月
弄胎	
試水	
傷産	
産褥	
月經病	
月經不調	
月經先期	經行先期, 經早
月經後期	經行後期, 經遲
月經先後無定 期	經亂
月經過少	月經澁少
月經過多	經水過多, 月水過多
崩漏	
血崩	崩中
漏下	
經期延長	
經間期出血	
閉經	經閉
痛經	月經痛, 經行腹痛
倒經	逆經
經行乳房脹痛	
經行情志異常	
帶下	
白帶	
黃帶	
惡阻	妊娠惡阻
胞阻	妊娠腹痛
胎漏	
胎動不安	
滑胎	
墮胎	
小産	
鬼胎	
子滿	胎水腫滿
子腫	妊娠腫脹
子煩	妊娠心煩
子暈	妊娠眩暈
子懸	胎氣上逆
子癎	妊娠癎證
子嗽	妊娠咳嗽
子淋	妊娠小便淋痛
過期不産	
難産	産難
胞衣不下	息胞
子死腹中	
惡露	
惡露不下	
惡露不絶	惡露不止
缺乳	
乳汁不行	乳汁不通
乳汁自出	乳溢
産後乳汁自出	
不孕	
腸覃	
石瘕	
轉胞	
陰挺	陰脫
陰癢	
陰腫	
陰瘡	
陰痛	
陰吹	
臟躁	
兒科	小兒科
胎怯	胎弱
胎熱	
囟陷	
囟塡	
變蒸	
滯頤	小兒多涎
溢乳	
百晬內嗽	
小兒哮喘	
馬脾風	
食積	
疳	疳癆
疳氣	
疳積	
丁奚疳	
乾疳	
血疳	
脾疳	食疳
心疳	驚疳
肝疳	筋疳
肺疳	氣疳
腎疳	骨疳
眼疳	
蛔疳	
哺乳疳	
疳腫脹	
厭食	
鵝口瘡	雪口
口瘡	
馬牙	
木舌	
齘齒	
驚風	
天釣	
內釣	
急驚風	
慢驚風	
慢脾風	
癲癎	癲疾, 癎病
驚癎	
風癎	
痰癎	
龜背	
龜胸	鷄胸
解顱	
五遲	
五軟	
五硬	
疰夏	
痘瘡	天花
麻疹	
痧	
風疹	風痧(病)
喉痧	爛喉丹痧, 丹痧, 疫痧, 爛喉風
水痘	水疱, 水花, 水瘡
痄腮	腮腫
白喉	白纏喉
頓咳	
夜啼	
客忤夜啼	
客忤	
胎黃	胎疸
胎赤	
臍風	
臍濕	
臍瘡	
臍疝	臍突
眼科	
羞明	
目暗	
翳	
障	
目盲	
鍼眼	
胞生痰核	
椒瘡	
粟瘡	
瞼弦赤爛	
風赤瘡痍	
胞腫如桃	
胞虛如球	
上胞下垂	
瞼廢	
胞輪振跳	
倒睫拳毛	
熱淚	
冷淚	
漏睛	漏睛膿出, 眥漏
胬肉攀睛	
暴風客熱	
天行赤眼	
暴赤生翳	
金疳	金瘍
火疳	火瘍
白膜侵睛	
白睛靑藍	
白睛溢血	
聚星障	
花翳白陷	
凝脂翳	
赤膜下垂	
血翳包睛	
瞳神乾缺	瞳人乾缺
綠風內障	
圓翳內障	
驚震內障	
胎患內障	
雲霧移睛	
暴盲	
靑盲	
雀目	雀盲
高風內障	
異物入目	
撞擊傷目	
眞睛破損	
疳眼	
風牽偏視	
鶻眼凝睛	
突起睛高	
睛脹	
眵	
口眼喎斜	
耳鼻喉口齒科	
耳疔	
耳瘡	
旋耳瘡	月蝕瘡
耵耳	
耳脹	
膿耳	
耳根毒	
耳根癰	
耳痔	
耳菌	耳蕈
耳挺	
耳瘻	
重聽	
鼻疔	
鼻燥	鼻乾
鼻瘡	鼻疳
鼻槁	
鼻鼽	鼽嚏
鼻痔	鼻息肉, 鼻菌
鼻淵	腦漏
乳蛾	喉蛾
石蛾	
喉痹	
喉癰	
猛疽	
喉癬	
喉菌	喉巖
骨鯁	
喉瘤	
喉風	
緊喉風	
纏喉風	
鎖喉風	
重舌	
絆舌	
舌癰	
舌疔	
舌瘡	
舌菌	
痰包	舌下痰包
牙痛	
齲齒	
牙宣	食床, 齒挺, 齒齦宣露
牙疳	
口糜	口疳
骨槽風	
脣風	
脣疔	
脣菌	
口僻	
骨傷科	
落枕	
筋傷	傷筋
筋斷	
筋縮	
筋粗	
筋攣	
筋痹	
扭傷	
其他	
所生病	
是動病	
六經病	
脾受寒表寒病	
胃受熱裏熱病	
腎受熱表熱病	
胃受寒裏寒病	
肝受熱裏熱病	
胃脘受寒表 寒病	
外感腰脊病	
內觸小腸病	
治療學	
治則	
治本	本治法
治標	標治法
正治	正治法
寒者熱之	
熱者寒之	
虛則補之	
實則瀉之	
反治	反治法
寒因寒用	
熱因熱用	
通因通用	
塞因塞用	
扶正祛邪	
攻補兼施	
誤治	
異病同治	
同病異治	
先急後緩	
先表後裏	
加減方	
合方	
治法	
治法	
八法	
扶正	
祛邪	
汗法	
解表	
發汗解表	
辛溫解表	
辛凉解表	
解肌	
透表	
透疹	
祛風	
疏風	
散寒	
疏風泄熱	
疏表潤燥	
疏散風熱	
扶正解表	
宣肺	
宣肺止咳平喘	
宣肺止咳	
宣肺平喘	
宣肺化痰	
通鼻	通(鼻)竅
利咽	
淸法	
淸熱	
瀉火	
淸氣	淸氣泄熱
淸心	
淸宮	
淸營	
瀉心	
瀉肺	
瀉肝	
淸氣凉營	氣營兩淸
淸營凉血	
淸營透疹	
淸熱凉血	凉血
透營轉氣	透熱轉氣
淸營祛瘀	
淸熱生津	
淸心火	
淸肝火	
淸肝	
淸熱利濕	
淸胃火	
淸胃	
淸熱和胃	
制酸止痛	
淸肺火	淸肺
淸相火	淸腎火
淸暑熱	
解暑	
淸暑益氣	
泄熱救津	
輕淸宣化	
苦寒泄火	
苦寒淸熱	
苦寒淸氣	
辛寒淸氣	
降火	
解毒	
除疳熱	
下法	瀉下(法)
寒下	瀉下泄熱
溫下	
峻下	急下
輕下	緩攻
緩下	
潤下	
潤腸	
通便	
瀉下軟堅	
瀉下攻積	
釜底抽薪	
溫下寒積	
瀉下逐水	
瀉下逐飮	攻逐水飮
增液潤下	增液潤腸
和法	
和血	
和營	
調和氣血	
調和營衛	
理氣	
行氣	
理中	
和胃	
調和脾胃	
調和肝胃	
調和肝脾	
和解表裏	
和解少陽	
交通心腎	
開達膜原	
表裏雙解	
祛濕	
淸熱除濕	
瀉肝除濕	
散寒祛濕	
化濕	
淸熱化濕	
祛暑化濕	
醒脾化濕	
芳香化濕	
芳香化濁	
芳香辟穢	
苦寒直折	
化濕行氣	
燥濕	
苦溫燥濕	
淸熱燥濕	
燥濕健脾	
利濕	
利水滲濕	
淡滲利濕	淡滲祛濕
利水消腫	
分消上下	分消走泄
化飮	
祛痰	
化痰	
燥濕化痰	
淸化熱痰	
溫化寒痰	
溫肺化痰	
溫肺化飮	
熄風化痰	
祛風痰	
潤燥化痰	
降氣化痰	下氣消痰
降逆止咳平喘	
納氣平喘	
消痰軟堅	
軟堅化痰	
淸燥潤肺	
潤肺止咳	
斂肺止咳	
瀉肺平喘	
溫法	
溫補	
溫裏散寒	溫裏祛寒
溫裏	
溫脾	
溫胃	
溫中	
溫中散寒	溫中祛寒
溫中和胃	
溫中止嘔	
溫肺	
溫肺散寒	
溫腎	溫腎陽
溫陽	
溫陽行水	
暖宮	
溫經	
溫經止痛	
溫經散寒	
溫經回陽	溫經扶陽
回陽救逆	回陽
溫經行滯	
溫經養血	
宣痹通陽	
行氣寬中	
行氣止痛	
行氣寬胸	
理氣健脾	
疏肝理氣	
疏肝養血	
疏肝瀉火	
疏肝健脾	
疏肝理脾	
疏肝和胃	
疏肝	
降逆下氣	降氣, 下氣
降氣止呃	降逆止呃
破氣	
凉血止血	
凉血散瘀	
固衝止血	
活血	
活血止痛	
活血化瘀	
活血行氣	
活血調經	
調經	
通經	
散瘀	
破血逐瘀	破瘀, 逐瘀
舒筋活絡	舒筋和絡
通絡	
祛風通絡	
潛陽	
平肝潛陽	
熄風	
熄風止痙	熄風解痙
凉肝熄風	
滋陰熄風	
淸熱熄風	
鎭肝熄風	
補法	
補氣	益氣
大補元氣	
補氣壯陽	
補氣生血	
補益氣血	
升提中氣	升擧中氣, 升陽, 升提
補陽	
壯陽	
溫補命門	
補益中氣	
補血	養血
補養心血	養心
補脾	
健脾	
健脾益氣	
健脾養血	
健脾扶陽	
健脾利濕	
健脾豁痰	
健胃	
開胃	
溫補脾胃	
補火助陽	補腎火
柔肝	養肝
滋陰	
滋陰補陽	
滋陰潛陽	
滋陰抑陽	
補心陰	養心陰
補肝陰	養肝陰
補肺	
補肺陰	養肺陰
潤肺	
生津	
補腎	
補腎陰	滋腎陰
養胃陰	補胃陰, 養胃
補腎益氣	
滋腎益陰	
滋腎養肝	
溫腎健脾	
調肝補腎	
養血柔肝	
滋水涵木	
酸甘化陰	
辛甘化陽	
引火歸原	引火下行
溫腎納氣	
固澁法	
澁腸止瀉	
固精	
固精縮尿	
固崩止帶	
固衝止帶	
固表	
固表止汗	斂汗固表
安神	
養心安神	
鎭驚安神	
重鎭安神	鎭靜安神
開竅	醒腦
淸心開竅	
淸熱開竅	
化痰開竅	
芳香開竅	
消食	
消食導滯	
消癰散結	
消癰散癤	
消骨鯁	
退翳明目	退目翳
明目	
通陽	
通陽散結	
塞流,澄源,復 舊	
化積	
安胎	
下乳	
斷乳	回乳
驅蟲	
殺蟲	
安蛔	
安蛔定痛	
排膿	
祛瘀生新	
生肌收口	
引血下行	
軟堅散結	
辟穢	
緩急	
托毒	
托瘡	
內托	
攝唾	
截瘧	
解毒殺蟲	
止癢	
燥濕止癢	
消腫	
拔毒	
提膿拔毒	
提膿祛腐	
化腐	去腐肉
蝕瘡去腐	
生肌斂瘡	
煨膿長肉	
透邪	
潰堅	
烏鬚髮	
膏藥療法	藥膏療法, 薄貼療法
藥酒療法	
熏法	
熨法	
烙法	
坐藥療法	
藥撚療法	
捏脊	
結紮療法	
熏洗療法	
沖洗法	沖洗療法
吹藥法	
牽引療法	
理筋手法	
按摩	推拿, 按蹻
旋轉法	
搓法	
摩法	
揉法	
推法	
一指禪推法	
滾法	
擦法	
抖法	
彈法	
彈筋法	
按法	
拿法	
捏法	
踩蹺法	
扳法	
搖法	
背法	
揉撚法	
叩打法	
指壓	
鍼灸(學)	
鍼	鍼法
鍼灸	鍼灸學
刺灸法	
火鍼	
溫鍼	溫鍼灸
九鍼	
毫鍼	
鑱鍼	
圓鍼	
鍉鍼	
鋒鍼	
員利鍼	
鈹鍼	
長鍼	
大鍼	
巨鍼	
砭石	
砭刺療法	
毫鍼療法	
鍼尖	
鍼柄	
鍼體	
鍼根	
梅花鍼	
梅花鍼療法	
七星鍼	
三棱鍼	
三棱鍼療法	
撳鍼	
皮內鍼	
皮內鍼療法	
皮膚鍼	
皮膚鍼療法	
滾刺筒	
銀鍼	
不銹鋼鍼	
一回用鍼	一次性鍼
小兒鍼	
小兒鍼法	
舍巖鍼法	
八體質鍼	
微鍼系統	
頭鍼	頭皮鍼
頭鍼療法	
面鍼	
耳鍼	
耳鍼療法	
鼻鍼	
鼻鍼療法	
手鍼	
手鍼療法	
手指鍼術	高麗手鍼療法
足鍼療法	
穴	腧穴, 穴位
經穴	
經外奇穴	奇穴
特定穴	
五輸穴	
井穴	
滎穴	
輸穴	
經穴	
合穴	
原穴	
八會穴	
交會穴	
八脈交會穴	
六腑下合穴	下合穴
阿是穴	天應穴
郄穴	郤穴
絡穴	
募穴	腹募穴
俞穴	背俞穴
耳穴	
五行穴	
氣街	
良導点	
輸穴特異性	
經穴部位	輸穴定位(法)
體表解剖標誌 定位法	自然標誌定位法
骨度折量定 位法	骨度分寸定位法, 骨度法
骨度分寸	
指寸定位法	
同身寸	
手指同身寸	
中指同身寸	
拇指同身寸	
橫指同身寸	一夫法
對證選穴	
配穴	配穴法
上下配穴法	
左右配穴法	
前後配穴法	腹背配穴法, 腹背陰陽配穴法
本經配穴法	
表裏配穴法	表裏經配穴法
原絡配穴法	
近部取穴	
局部取穴	
遠道取穴	
進鍼	
進鍼法	
雙手進鍼法	
指切進鍼法	
挾持進鍼法	
提捏進鍼法	
舒張進鍼法	
單手進鍼法	
管鍼進鍼法	
刺手	
押手	
押手法	
鍼刺角度	
直刺	
橫刺	平刺, 沿皮刺
斜刺	
鍼感	鍼響
氣至	
得氣	
候氣	
催氣	
經絡現象	
經脈循行	
循經感傳	
隱性感傳	
經絡治療	
行鍼	運鍼
捻轉法	
提插法	
刮柄法	
搓柄法	
搖柄法	
彈柄法	
震顫法	
循法	
補瀉	
捻轉補瀉	
捻轉補瀉法	
提插補瀉	
提插補瀉法	
迎隨補瀉	
迎隨補瀉法	
疾徐補瀉	徐疾補瀉
疾徐補瀉 法	徐疾補瀉法
呼吸補瀉	
呼吸補瀉法	
開闔補瀉	
開闔補瀉法	
平補平瀉	
平補平瀉法	
燒山火(法)	
透天凉(法)	
補母瀉子法	
子午流注	
子午流注鍼法	
納甲法	納干法
納子法	納支法
靈龜八法	
刺法	
五刺	
半刺	
豹文刺	
關刺	
合谷刺	
輸刺	
九刺	
遠道刺	
經刺	
絡刺	
分刺	
大瀉刺	
毛刺	
焠刺	
巨刺	
繆刺	
偶刺	
報刺	
恢刺	
齊刺	
揚刺	
直鍼刺	
短刺	
浮刺	
陰刺	
傍鍼刺	
贊刺	
留鍼	置鍼
皮下留鍼法	
埋鍼法	
散刺法	
挑刺法	
點刺	
點刺療法	
刺絡法	
刺絡療法	刺絡法
出鍼	
出鍼法	
暈鍼	
彎鍼	
折鍼	斷鍼
滯鍼	
鍼適應症	
鍼禁忌症	
鍼不適應症	
禁鍼穴	
刺鍼抵抗	
鍼敏感人	
磁療儀	
電鍼	
電鍼儀	
電鍼療法	
激光鍼	
穴位激光照 射法	
知熱感度測 定器	溫度感覺測定器
藥鍼	
藥鍼療法	
電熱鍼	
微波鍼灸	
微波鍼療法	
蜂鍼	
穴位注射	
穴位注射療法	
割治療法	
鍼刺麻醉法	
脊髓分節刺鍼	
脊髓分節外 刺鍼	
發痛点	
發痛点刺鍼	
壓痛点刺鍼	
筋肉刺鍼	
傍神經刺鍼	
筋鍼通電療 法	筋
神經鍼通電 療法	神經法
皮下鍼通電 療法	皮下法
椎間關節鍼通 電療法	椎間關節pulse療法
僞鍼	
灸(法)	
灸(法)	
艾	
艾絨	
艾炷	
艾炷灸	
直接灸	
麥粒灸	
間接灸	間隔灸, 隔物灸
隔薑灸	
隔鹽灸	鹽灸
隔蒜灸	大蒜灸, 隔蒜灸
艾條	
艾條灸	
艾條灸療法	
艾卷	
艾卷灸	
溫和灸	
廻旋灸	
雀啄灸	雀啄法
懸灸	
灸痕	
無瘢痕灸	無痕灸, 非化膿灸
瘢痕灸	有痕灸, 化膿灸, 打膿灸
實按灸	
燈火灸	
天灸	發泡灸
太乙神鍼	
雷火神鍼	
藥物灸	藥調灸
溫鍼療法	
溫灸器	
溫灸器灸	
筒灸	
線香	
壯數	
電氣灸	
灸適應症	
灸不適應症	
禁灸穴	
拔罐	
拔罐	
拔罐法	
抽氣罐	
竹罐	
留罐	
投火法	
閃火法	
貼棉法	
走罐	
藥罐	
刺絡拔罐法	刺血拔罐法
藥物治療	
藥(物)	
中藥	
草藥	
本草	
藥材	
道地藥材	
炮製	修治, 修事
切(製)	
水製	
水飛	
火製	
淸炒	
炒黃	
炒焦	
炒炭	
炙	
煅	
煨	
烘焙	
漂	
去火毒	
酒製	
醋製	
上品	
中品	
下品	
藥味	
藥性	
氣味	
四氣	四性
五味	
升降浮沈	
歸經	
相須	
相使	
相畏	
相殺	
相惡	
相反	
配伍禁忌	
十八反	
十九畏	
禁忌	
妊娠禁忌	
服藥食忌	
食忌	
劑量	
方寸匕	
配伍	
解表藥	
發散風寒藥	
辛溫解表藥	
發散風熱藥	
辛凉解表藥	
淸熱藥	
淸熱瀉火藥	
淸熱燥濕藥	
淸熱解毒藥	
淸熱凉血藥	
淸虛熱藥	
瀉下藥	
攻下藥	
溫下藥	
潤下藥	
峻下逐水藥	
祛風濕藥	
祛風濕散寒藥	
祛風濕淸熱藥	
化濕藥	
利水滲濕藥	利濕藥
利水消腫藥	
利尿通淋藥	
通淋藥	
利濕退黃藥	
利膽退黃藥	
溫裏藥	
理氣藥	
消食藥	消導藥
驅蟲藥	
止血藥	
凉血止血藥	
化瘀止血藥	
收斂止血藥	
溫經止血藥	
活血化瘀藥	
活血祛瘀藥	
活血藥	
化瘀藥	
活血止痛藥	
活血行氣藥	
活血調經藥	
活血療傷藥	
破血消癥藥	
止咳平喘藥	
安神藥	
重鎭安神藥	
養心安神藥	
平肝熄風藥	
開竅藥	
補益藥	
補氣藥	
補陽藥	
補腎陽藥	
補血藥	養血藥
柔肝藥	
補陰藥	養陰藥, 滋陰藥
收澁藥	固澁藥
固表止汗藥	
斂汗固表藥	
淸熱收澁藥	
斂肺澁腸藥	
湧吐藥	催吐藥
消散藥	
方劑	
方劑	
經方	
漢方藥	
理法方藥	
藥對	
君臣佐使	
君藥	
臣藥	
佐藥	
使藥	
反佐	
大方	
小方	
緩方	緩劑
急方	峻劑
奇方	
偶方	
複方	
八陣	
主治	
劑型	
湯劑	
丸劑	
散劑	
蜜丸	
糊丸	
蠟丸	
膏劑	
浸膏	
流膏	
軟膏	
膏藥	
藥酒	酒劑
丹劑	
茶劑	
條劑	
沖劑	顆粒劑
片劑	
飮片	
鍼劑	
坐藥	栓劑
藥線	
煎藥法	
水煎	
先煎	
後下	
包煎	
另煎	單煎
武火	
文火	
溶化	
沖服	
飯前服	
飯後服	
食遠服	
平旦服	
臨睡服	
代茶服	
頻服	
頓服	
冷服	
發表劑	
湧吐劑	吐劑
攻裏劑	
表裏雙解劑	
和解劑	
理氣劑	
理血劑	
祛風劑	治風劑
祛寒劑	溫裏劑
溫補劑	
瀉下劑	攻下劑
寒下劑	
溫下劑	
潤下劑	
解表劑	
淸暑劑	祛暑劑
利濕劑	
祛濕劑	
潤燥劑	
治燥劑	
淸熱劑	
瀉火劑	
祛痰劑	除痰劑
消食劑	消導劑
開竅劑	
安神劑	
固澁劑	
補益劑	
驅蟲劑	
殺蟲劑	
明目劑	
癰瘍劑	
經産劑	
救急劑	
