〜	~
觀骸	顴髎
觀紅	顴紅
括樓	栝樓
括莫	括蔞
括養	括蔞
框	樞
狂A	狂人
框子	梔子
괴롭하	괴롭히
壞痕	壞疽
膠始	膠飴
膠餘	膠飴
橋圓	橢圓
膠刺	繆刺
柩	樞
惧	惕
구 균	구균
口 襟	口噤
구 부	구부
구 성	구성
구 역	구역
구 조	구조
口!음	마음
口！음	마음
拘«	拘«
拘«	拘攣
求甘	朮甘
求甘湯	朮甘湯
拘擎	拘攣
舊桂	薑桂
口區	嘔
龜溝	蠡溝
구宮	子宮
苟歸	芎歸
口襟	口噤
丘疼	丘疹
久铜	久痢
夠藤	鉤藤
구良	子良
拘攀	拘攣
口臂	口脣
嘔斜	喎斜
拘祀	枸杞
构祀	枸杞
溝上	淸上
口亞	啞
苟藥	芍藥
嘔嚷	嘔噦
區逆	嘔逆
構圓	橢圓
溝陰	濁陰
口醫	口脣
口脊	口脣
久清	久瀉
口層	口脣
區吐	嘔吐
苟片	苞片
溝肺	淸肺
購下	臍下
躯	軀
钩	鉤
君구	君子
君子；«	君子湯
君子淸	君子湯
君子港	君子湯
굴 곡	굴곡
굴 근	굴근
窟悶	痞悶
굽하	굽히
宫	宮
窮陰	竅陰
권 한	권한
权實	枳實
權圓	橢圓
捲溺	搐搦
拳丸	睾丸
權患	罹患
厥 陰	厥陰
轨	鼽
궤 양	궤양
貴門	賁門
窺	竅
窥	竅
菌끓萬	茵蔯蒿
菌표萬	茵蔯蒿
橘圓	橢圓
그 것	그것
그 녀	그녀
그 대로	그대로
그 래	그래
그 램	그램
그 러	그러
그 런	그런
그 릇	그릇
그 리고	그리고
그기자	구기자
그다음	그 다음 
그러 나	그러나
그런 데	그런데
그요지	그 요지
그이상	그 이상
극 단	극단
극 하	극하
極子	梔子
謹	證
근 골	근골
근 본	근본
근 육	근육
筋t易	筋惕
筋惧	筋惕
筋攀	筋攣
筋瘦	筋痿
根室	根莖
根實	枳實
根藉	根@@蒂
根菜	根莖
筋懐	筋惕
금 궤요략	금궤요략
襟0	噤口
금궤 요략	금궤요략
禁滅	禁鍼
擒挫	捻挫
錦齒	鋸齒
急 方	急方
給A	給人
急後M	急後重
其 	其
機 	機
기 \.혈•수	기•혈•수
기 계	기계
기 관	기관
기 능	기능
機 能	機能
氣 攀	氣鬱
기 억	기억
기 운	기운
氣 滯	氣滯
기 초	기초
기 침	기침
氣 虛	氣虛
氣 血•水	氣•血•水
기\(M\)	기(氣)
기관 지	기관지
肌紐	肌衄
기도하다\.	기도 하다.
기도한다	기도 한다
기도했	기도 했
기때	기 때
氣戀	氣鬱
기록 한	기록한
氣蠻	氣鬱
氣攀	氣鬱
氣變\,	氣鬱,
棄賦	稟賦
기어렵	기 어렵
기역\(氣왠	기역(氣逆
기와혈	기와 혈
기울\(氣蜜	기울(氣鬱
기울\(氣變	기울(氣鬱
機圓	橢圓
嗜雜	嘈雜
嗜腸	噎膈
氣懲	氣鬱
기허 M	기허氣虛
기허tui	기허氣虛
긱혜	각해
긴 장	긴장
긴장 되	긴장되
길 이	길이
길 항	길항
洁梗	桔梗
金\[賣	金匱
金a要	金匱要
金B要	金匱要
金K	金匱
金K要	金匱要
金R要	金匱要
金S	金匱
金概要	金匱要
金匿	金匱
金匿要	金匱要
金匪要	金匱要
金箱	金箔
金圓要	金匱要
金隱要	金匱要
金置	金匱
金置 要略	金匱要略
金置要	金匱要
金置要略	金匱要略
깅하	강하
까 지	까지
깨 끗	깨끗
꺼 기	꺼기
껍 질	껍질
꼽하	꼽히
꿇	끓
꿈 치	꿈치
끄 럽	끄럽
끊 	끊
끓 	끓
끓여먹	끓여 먹
끓證	湯證
끓合	湯合
끼 는	끼는
낌질	찜질
ᄂev	Lev
나 는 	나는 
나 타나	나타나
나H로	나므로
나누 어	나누어
나다리	나 다리
나라각지	나라 각지
나타 \^다\.	나타난다.
나타 난	나타난
나타니	나타나
나혹은	나 혹은 
난 다\.	난다.
暖氣	噯氣
날수	날 수
남 성	남성
났 	났
娘娠	姙娠
낮 	낮
内	內
내 게	내게
내 과비록	내과비록
內 服	內服
내 어 	내어 
내 용	내용
내 측	내측
內谏	內煉
內皆	內眥
內课	內踝
내담 자	내담자
內滅	內鍼
內普	內眥
내쁨	내뿜
內碟	內踝
內誠	內鍼
內癒	內癰
內躁	內踝
낸다음	낸 다음
냄 비	냄비
냈 	냈
냉;\^	냉冷
너 지	너지
넓 	넓
넓적 다리	넓적다리
넘 어	넘어
넣 	넣
네폐질	네페질
넷가	냇가
年 老	年老
捻轉	捻轉
寧藤	葶藶
寧歷	葶藶
寧歴	葶藶
寧薩	葶藶
노 력	노력
노夢	人蔘
노창\(怒膨	노창(怒脹)
노ᅵ	뇌
녹간	늑간
논 리	논리
논 의하	논의하
濃已成	膿已成
높 	높
높 아	높아
높 이	높이
놓 	놓
脑	臍
腦 髓	腦髓
腦窮	腦竅
脑下	臍下
뇌하\^체	뇌하수체
尿獨	尿濁
누 르	누르
누 른	누른
누 어 	누어 
嫩水	漱水
눌수있	눌 수 있
뉴 런	뉴런
紐血	衄血
늄枝	桂枝乾
느 끼	느끼
느 낌	느낌
느 냐	느냐
느쪽	느 쪽
는 가 	는가 
는 가\.	는가.
는 가\?	는가?
는 가가	는가가
는 가를	는가를
는 가에	는가에
는 가이다	는가이다
는 다는	는다는
는 지 	는지 
는 지\,	는지,
는것	는 것
는게	는 게
는게 	는 게 
는게 아	는 게 아
는경	는 경
는곳	는 곳
는그	는 그
는근거	는 근거
는근육	는 근육
는금	는 금
는기	는 기
는내	는 내
는느낌	는 느낌
는능력	는 능력
는다르	는 다르
는다른	는 다른
는다시	는 다시
는다음	는 다음
는데 사용	는 데 사용
는데 중요	는 데 중요
는데는	는 데는
는데도 좋	는 데도 좋
는데이	는데 이
는동	는 동
는듯	는 듯
는등	는 등
는뜻	는 뜻
는말	는 말
는모	는 모
는무	는 무
는물	는 물
는방	는 방
는방제	는 방제
는병	는 병
는복	는 복
는부	는 부
는부위	는 부위
는사	는 사
는상	는 상
는설	는 설
는소	는 소
는소리	는 소리
는손	는 손
는수	는 수
는안	는 안
는않	는 않
는약	는 약
는어	는 어
는없	는 없
는여	는 여
는용	는 용
는운동	는 운동
는원인	는 원인
는음	는 음
는의미	는 의미
는이 	는 이 
는일	는 일
는자	는 자
는작 	는 작
는작용	는 작용
는점	는 점
는정	는 정
는좋	는 좋
는症	는 症
는증상	는 증상
는증후	는 증후
는질병	는 질병
는쪽	는 쪽
는처	는 처
는통	는 통
는특	는 특
는할	는 할
는형	는 형
는환자	는 환자
는효	는 효
늘 어	늘어
능 력	능력
능 성	능성
呢	呃
니 까	니까
니 다	니다
니 라	니라
니 트로	니트로
니누	나누
呢逆	呃逆
니이\" 가	나아가
니이•	나아
溺	溺
다 고 	다고 
다 는 	다는 
다 란	다란
다 른	다른
다 리	다리
다 면 	다면 
다 시 	다시 
다 음	다음
다 음 	 다음 
다 투	다투
다\, 라고 	다'라고 
다’고 	다"고 
다’라고	다"라고
다”	다.”
다\-	다.
다\, 고 	다’고 
다\,는	다’는 
다\^	다.
다■	다.
다고되	다고 되
다고한다	다고 한다
다고할 	다고 할 
다고했	다고 했
다끓	다 끓
다는	다는 
다른손	다른 손
다른쪽	다른 쪽
다면이 	다면 이 
다음과 \^다	다음과 같다
다좋	다 좋
茶甘	苓甘
茶甘■味	苓甘薑味
茶甘蓮味	苓甘薑味
茶桂	苓桂
多蠻	多鬱
茶墓朮	苓薑朮
단 계	단계
단 단	단단
단 독	단독
斷 面	斷面
단 순	단순
단 축	단축
蛋休	蚤休
달 걀	달걀
달 리	달리
달여 서 	달여서 
달여먹	달여 먹
달인물	달인 물
담 갔	담갔
담 당	담당
담\(疲\)	담(痰)
담궜	담갔
擔擔	澹澹
痰獨	痰濁
痰桐	痰稠
膽妄	譫妄
膽未成	膿未成
膽攀	膽礬
膽傷	膿瘍
膽語	譫語
膽의 흡수	膿의 흡수
膽汁港	膽汁湯
담疲	담痰
膽血	膿血
답 답	답답
答桂朮	苓桂朮
踏脈	蹻脈
당 귀	당귀
당 뇨	당뇨
당 량	당량
당 신	당신
당 연	당연
당귀 작약산	당귀작약산
당뇨 병	당뇨병
當 歸	當歸
當\^芍藥	當歸芍藥
唐®仁湯	木防己湯
當fS	當歸
當fS芍藥	當歸芍藥
撞库	搔痒
當歸芍藥	當fS芍藥
党端	兌端
糖上择	臍上悸
當腺	當腑
塘泄	溏泄
糖圓	橢圓
黨參	黨蔘
黨黑	黧黑
대 개	대개
對 句	對句
大 敦	大敦
대 부	대부
大 小	大小
大 腸	大腸
대 조	대조
대 쪽	대쪽
대 퇴	대퇴
대 표	대표
대 한	대한
대 해	대해
大:便	大便
大\*牡丹皮	大黃牡丹皮
大ff	大杼
대개이	대개 이
臺格堂	臺榕堂
大轰	大棗
大棄	大棗
大裏	大棗
大裏湯	大棗湯
대맥\(帶M	대맥(帶脈
大保敬	大塚敬
大補황	大補湯
代緒石	代赭石
大勝經	大腸經
대이 	대 이 
大齋湯	大棗湯
大秦	大棗
大\-秦	大棗
대추2	대추 2
대湯\)	대황)
대틔	대퇴
대표 적	대표적
大行	大杼
代赫	代赭
大黃®蟲	大黃蟅蟲
대황大\*	대황大黃
大黃港	大黃湯
大黃黃	大黃
대흐	대추
더 불	더불
더 불어	더불어
더 욱	더욱
더부록	더부룩
德法	瀉法
德狀	穗狀
德心湯	瀉心湯
德轉	捻轉
던 져	던져
던증	던 증
덧 붙	 덧붙
덮 	덮
데이 	데 이 
데이 터	데이터
뎨 지 	계지
뎨지	계지
涛	瀉
涛	痔
도 \^다\.	도 한다.
導 氣	導氣
도 띠와	도 따라
倒 卵	倒卵
도 록	도록
도 록 	도록 
도 움	도움
도 핵승기	도핵승기
道A	道人
堵茶	猪苓
도록하	도록 하
도록한다	도록 한다
涛漏	痔漏
도많	도 많
도불리	도 불리
도사용	도 사용
涛泄	瀉泄
道遙散	逍遙散
도응용	도 응용
도이 	도 이 
도있	도 있
도있다\.	도 있다.
도좋	도 좋
도중요	도 중요
涛瘡	痔瘡
萄片	苞片
도하고	도 하고
도하는	도 하는
도하였	도 하였
도한다	도 한다
도할	도 할
도할 수	도 할 수
도핵 승기	도핵승기
堵홉	猪苓
涛火	瀉火
도효과	도 효과
督 脈	督脈
獨夢	獨蔘
督悶	瞀悶
篤心湯	瀉心湯
督正格	腎正格
獨涕	濁涕
獨唾	濁唾
頓車	頰車
돌 리	돌리
돌 아	돌아
铜	痢
銅 A	銅人
동 계	동계
동 맥	동맥
動 脈	動脈
同 屬	同屬
동 안	동안
東 醫	東醫
東 醫寶	東醫寶
동 작	동작
疼 痛	疼痛
東 훌寶鑑	東醫寶鑑
東;同	東洞
東±D	東垣
銅A	銅人
動怪	動悸
董根	蘆根
動惊	動悸
동맥경 화	동맥경화
東쁠	東醫
動淨	動悸
銅疾	痢疾
铜疾	痢疾
動慘	動悸
疼聴	痄腮
動择	動悸
動懐	動悸
돼 지	돼지
되 고 	되고 
되 기도	되기도
되 는	되는
되 면	되면
되 어	되어
되 어 	되어 
되 지 	되지 
되기도한다	되기도 한다
된 다\.	된다.
된 다고	된다고
된것	된 것
된상태	된 상태
될 수록	될수록
될것	될 것
될수	될 수
두 골	두골
두 부	두부
두 중감	두중감
두 통	두통
頭 暈	頭暈
두가지	두 가지
杜螺	牡蠣
頭量	頭暈
頭嶺	頭巓
두롭	두릅
杜瑪	牡蠣
頭滅	頭鍼
肚門	肛門
두번	두 번
頭誠	頭鍼
두손	두 손
豆惹	豆蔲
頭章	頭暈
杜蝶	牡蠣
頭肢	頭眩
두틈	두툼
두팁	두텁
頭弦	頭眩
둔 근	둔근
둥 	등 
둥\)	 등)
둥\.	등.
둥근육	등근육
둥에	등에
둥의	등의
드 랍	드랍
드 러	드러
드 럽	드럽
드 리	드리
드 시	드시
드 陽	三陽
드兩	三兩
드里	三里
드物	三物
드味	三味
드服	三服
드分	三分
드升	三升
드陽	三陽
드陰	三陰
드錢	三錢
드焦	三焦
드寸	三寸
드충	두충
드黃	三黃
드黃心湯	三黃瀉心湯
드喜	三喜
득歸膠	芎歸膠
들 수록	들수록
들 어	들어
들 에게	들에게
들 이	들이
들수	들 수
들어 가	들어가
燈	證
腾	臍
등근	둥근
등글	둥글
藤藤子	蘿菔子
騰臂	臑臂
腾上俘	臍上悸
腾上择	臍上悸
등증상	등 증상
腾下	臍下
腾下1季	臍下悸
騰會	臑會
디•	다
디는 	다는 
디루	다루
디른	다른
따 뜻	따 뜻
따 뜻	따뜻
따 라	따라
따라 서 	따라서 
따라일	따라 일
딱 딱	딱딱
때 문	때문
때쓰	때 쓰
때쓴	때 쓴
때좋	때 좋
떨 	떨
떨 어	떨어
떻心湯	瀉心湯
떻吐	嘔吐
또는다	또는 다
또立	王立
또冰	王冰
또昂	王昂
또執中	王執中
또淸	王淸
또學	王學
또한 가지	또 한 가지
또한이	또한 이
또惠	王惠
뚜 렷	뚜렷
뚜껌	뚜껑
뛰 어	뛰어
뛰어	뛰 어
뜻 하	뜻하
뜻 한	뜻한
띠과서	따라서
띠끈	따끈
띠뜻	따뜻
띠리	따라
띠와 서	따라서
띠와서	따라서
懒	懶
라 \^다\.	라 한다.
라 고	라고
라 고 	라고 
라 고 한	라고 한
라 고도	라고도
라 고한	라고 한
라 지	라지
라고하	라고 하
라고한	라고 한
라고한다	라고 한다
라고할	라고 할
라고할 	라고 할 
螺動	蠕動
羅藤	蘿菔
羅富	蘿葍
라사용	라 사용
라정리	라 정리
라틴	 라틴
라하고	라 하고
라하여	라 하여
라하였	라 하였
라한다	라 한다
라할 	라 할 
란 다	란다
欄圓	橢圓
剌	刺
嵐器	崑崙
嵐옮	崑崙
嵐斋	崑崙
拉治	竝治
郎	郞
래 서	래서
래서이	래서 이
莱英	茱萸
랫 	랫
冷铜	冷痢
冷痒	冷痺
掠褐色	棕褐色
掠欄	棕櫚
掠色	棕色
略血	咯血
略血	喀血
량 하	량하
凉隔	凉膈
량함	량 함
러 나	러나
러 나 	러나 
러 므	러므
러 스	러스
러 운	러운
러 졌	러졌
러 지	러지
러 한	러한
러H로	러므로
러가	러 가
러나이 	러나 이 
런 데	런데
런 데이 	런데 이 
런데이 	런 데이 
럽 	럽
렇 	렇
레 르	레르
레 스	레스
레이 저	레이저
렙 토	렙토
驢	鹽
려 고	려고
려 면	려면
려 우	려우
려 운	려운
려 움	려움
려 져	려져
려고한	려고 한
厲党	厲兌
黎盧	藜蘆
驢類	鹽類
驢水	鹽水
厲兒	厲兌
厲요	厲兌
려한다	려 한다
藶大裏	藶大棗
力嘛	加味
練經活	疏經活
蓮翹	連翹
連戴	連翹
連勉	連翹
連麵	連翹
練蜜	煉蜜 
練蜜	煉蜜
蓮白	薤白
連繁	連繫
攣石	礬石
連紹	連軺
蓮翅	連翹
連翅	連翹
連熱湯	蓮翹湯
連魏	連翹
攣睛	攀睛
蓮鍾	蓮翹
連鍾	連翹
連鍾湯	蓮翹湯
戀症	鬱症
戀滯	鬱滯
攣血	鬱血
敛	斂
廉疼	痲疹
齢	齡
令A	令人
苓甘藍味	苓甘薑味
靈框	靈樞
靈框	靈樞
靈框 	靈框樞
靈框樞	靈樞
靈溝	蠡溝
灵氣	炅氣
靈福	靈樞
靈本	藁本
靈植	靈樞
玲羊	羚羊
靈枢	靈樞
苓港	苓湯
苓황	苓湯
例水	冽水
로 는 	로는 
로 부터	로부터
로 서	로서
로 서 	로서 
로 소 	로소 
로 써	로써
로 써 	로써 
로 운	로운
로 움	로움
로 이드	로이드
로 인 하	로 인하
老A	老人
로가	로 가
로개선	로 개선
로교차	로 교차
로구분	로 구분
로구성	로구성
로구성	로 구성
로굽	로 굽
盧根	蘆根
로끓	로 끓
로나	로 나
로내	로 내
로누	로 누
로달	로 달
로돌	로 돌
로되어	로 되어
로된	로 된
盧頭	蘆頭
로들	로 들
로만들	로 만들
로많	로 많
로먹	로 먹
로반죽	로 반죽
로배열	로 배열
로보	로 보
로복용	로 복용
로분류	로 분류
로숙	로 숙
로써서	로 써서
로알려	로 알려
로올	로 올
로옮	로 옮
로운용	로 운용
로움직	로 움직
로응용	로 응용
로이 	로 이 
로인	로 인
로인한	로 인한
로잡	로 잡
로主治	로 主治
로줄	로 줄
勞擦	勞瘵
勞擦	勞瘵
盧蒼	蘆薈
로치료	로 치료
로토	로 토
로퍼	로 퍼
로펴	로 펴
로폭넓	로 폭넓
로표	로 표
로하	로 하
로하여	로 하여
로하여 	로 하여 
로하였	로 하였
로한다	로 한다
로할 	로 할 
로해	로 해
로했	로 했
綠 色	綠色
碌經	疏經
鹿攀	痙攣
록주의	록 주의
鹿奪	鹿茸
祿風	祛風
록한다	록 한다
論」	論』
롱팔	콩팥
롱팥	콩팥
료 법	료법
療 法	療法
疗毒	疔毒
療痺	瘙痒
療瘦	瘰癧
療癌	瘰癧
療癒	瘰癧
疗腫	疔腫
疗瘡	疔瘡
療痛	瘰癧
龙	朮
룡 탕	룡탕
루期	早期
漏盧	漏蘆
蔞蔬白	蔞薤白
樓蘇散	檳蘇散
漏承氣湯	桃核承氣湯
樓息	棲息
樓掷	檳榔
樓鄉	檳榔
룰 	를 
瘤	癎
劉 河	劉河
瘤狂	癲狂
流膽	流膿
留滅	留鍼
留誠	留鍼
類車	頰車
六 味丸	六味丸
六臉	六腑
六膽	六腑
六膽	六腑
六蠻	六鬱
六贿	六腑
륭근	흉근
르 	르
르 고	르고
르 기	르기
르 네	르네
르 러	르러
르 면 	르면 
르 지	르지
勒帶	靭帶
를 띠와	를 따라
를 사\^하	를 사용하
를「	를 「
를가	를 가
를거	를 거
를굴	를 굴
를굽	를 굽
를끓	를 끓
를내	를 내
를낸	를 낸
를넘	를 넘
를넣	를 넣
를느	를 느
를늘	를 늘
를도	를 도
를돕	를 돕
를들	를 들
를따	를 따
를만	를 만
를말	를 말
를멈	를 멈
를바	를 바
를받	를 받
를버	를 버
를보	를 보
를볼	를 볼
를붓	를 붓
를빼	를 빼
를사	를 사
를시	를 시
를요	를 요
를움	를 움
를유지	를 유지
를의	를 의
를이	를 이
를잡	를 잡
를제	를 제
를제거	를 제거
를조절	를 조절
를주	를 주
를중심	를 중심
를증	를 증
를지나	를 지나
를찾	를 찾
를치	를 치
를치료	를 치료
를통	를 통
를튼	를 튼
를포	를 포
를하	를 하
를한	를 한
를할	를 할
를함	를 함
를해	를 해
陵 泉	陵泉
菱했仁	薏苡仁
릍	를
리 고 	리고 
리 기	리기
리 적	리적
리 키	리키
利A	利人
莉芥	荊芥
利窮	利竅
리는 뜻	라는 뜻
莉茶	荊芥
리돔	리듬
리듬	 리듬
利發	利竅
莉防	荊防
莉芬	荊芥
리비도	 리비도
李挺	李梴
麟	鱗
린것	린 것
鱗塞	鱗莖
麟蘇	麟癬
림 프	림프
淋獨	淋濁
淋歷	淋瀝
臨立	臨泣
淋滴	淋漓
립 선	립선
립 신	립신
粒發	竝發
릿 	릿
ᄆ	口
ᄆ 眼	口眼
ᄆ渴	口渴
ᄆ乾	口乾
ᄆ苦	口苦
ᄆ區	嘔
ᄆ襟	口噤
ᄆ舌	口舌
ᄆ眼	口眼
ᄆ燥	口燥
ᄆ瘡	口瘡
ᄆ臭	口臭
嗎	嘔
麼	糜
마 늘	마늘
마 디	마디
마 르	마르
마 른	마른
마 음	마음
마 이너	마이너
마 지	마지
麻各蒼甘	麻杏薏甘
麻庫	麻痺
麻구	麻子
麻疼	麻疹
麻疼	痲疹
麼爛	糜爛
麻务	麻杏
麻捧	痲痺
磨損	虧損
麻瘦	痲痺
麻痒	麻痺
麻疫	麻疹
麻疹	痲疹
麻擦	痲痺
磨窓	膺窓
馬齒竟	馬齒莧
磨香	麝香
麻血	瘀血
漠肝	瀉肝
膜理	腠理
膜滿	脹滿
膜悶	脹悶
막이주	막아주
膜汁	膿汁
寞黑	糞黑
蠻	鬱
弯	穹
만 날	만날
만 족	만족
만 큼	만큼
만\. 	만, 
蠻結	鬱結
漫驚	慢驚
蠻曲	彎曲
弯管	萼管
蠻氣	鬱氣
蠻金	鬱金
蠻怒	鬱怒
蔓莉	蔓荊
蔓莉子	蔓荊子
晚白	晄白
蠻病	鬱病
만아니	만 아니
挽仰	俛仰
蠻熱	鬱熱
蠻欲	鬱欲
蠻者	鬱者
蔓製	薑製
蔓汁	薑汁
蠻症	鬱症
蠻證	鬱證
蠻滯	鬱滯
弯片	萼片
蠻肺	鬱肺
蠻閉	鬱閉
만한다	만 한다
蠻火	鬱火
蔓黃	薑黃
많	 많
많 	많
많이한	많이 한
말 \^다\.	말한다.
말 하	말하
末稍	末梢
芒滅	芒鍼
芒碑	芒硝
芒銷	芒硝
망싱	망상
芒稍	芒硝
芒稱	芒硝
芒砲	芒硝
芒确	芒硝
芒確	芒硝
맞 	맞
毎	每
매 우	매우
매 일	매일
매 핵	매핵
埋滅	埋鍼
罵冒	罵詈
매일아침	매일 아침
梅指	拇指
脉	脈
麥大藥湯	麥大棗湯
脈浪	脈澁
脈流	脈澁
脈液	脈澁
脈孺	脈濡
脈이 流	脈이 澁
脈짧	脈澁
萌果	蒴果
머 리	머리
머리위	머리 위
멈 	멈
메털	메틸
며이	며 이
糸工	紅
면 서 	면서 
면 역	면역
면 이 	면이 
면\. 	면, 
面揭	面褐
면더욱	면 더욱
면된다	면 된다
面微有壅	面微有塵
面壅	面塵
면이 	면 이 
면좋	면 좋
면한다\.	면 한다.
면효	면 효
滅 灸	鍼灸
滅感	鍼感
滅經	鍼經
滅과	鍼과
滅灸	鍼灸
蔑麻	蓖麻
蔑白	蔥白
滅法	鍼法
滅柄	鍼柄
滅으	鍼으
滅을	鍼을
滅이	鍼이
滅入	鍼入
滅刺	鍼刺
滅尖	鍼尖
滅治	鍼治
明 目	明目
명확 하	명확하
몇번	몇 번
모 델	모델
모 든	모든
모 르	모르
모 양	모양
牡！嘱	牡蠣
牡«湯	牡蠣湯
牡■湯	牡蠣湯
牡機	牡蠣
牡螺	牡蠣
毛良科	毛茛
모려 탕	모려탕
牡蠣끓	牡蠣湯
牡蠣淸	牡蠣湯
牡蠣황	牡蠣湯
모르 핀	모르핀
모르펀	모르핀
暮痲	蕁痲
牡瑪	牡蠣
毛莫科	毛茛科
牡耀	牡蠣
牡場	牡蠣
牡蝶	牡蠣
牡嘱	牡蠣
牡爆	牡蠣
牡嫌 湯	牡蠣湯
模形	楔形
목 단	목단
牧 丹	牧丹
目 目玄	目眩
目 醫	目翳
目 赤	目赤
目艮	眼
목단피 탕	목단피탕
木戀	木鬱
目流眼花	目澁眼花
目目玄	目眩
目聞	瞤
目銳皆	目銳眥
目醫	目翳
睦子	瞳子
睦臓	膵臟
目肢	目眩
目港眼	目澁眼
目弦	目眩
目玄	眩
몰이•	몰아
몸 통	몸통
몸푼	몸 푼
못 \^다\.	못 한다.
못朴湯	柴朴湯
못實	芡實
못馳龍骨	柴胡加龍骨
못胡	柴胡
夢蘇飮	蔘蘇飮
庙	疝
庙硬	痞硬
描溺	搐搦
墓味	薑味
墓本	藁本
描熱	疳熱
墓汁	薑汁
무 릎	무릎
무 리	무리
무 엇	무엇
無膽	無膿
無力或乳	無力或芤
무룻	무릇
무를을	무릎을
무릎을 끓	무릎을 꿇
無菩	無苔
무엇 보다	무엇보다
무의 식	무의식
무자이중	부자이중
無疲	無痰
黙	默
门	門
문 제	문제
文!哈	文蛤
文給	文蛤
문류	분류
門賛言	門贅言
물 론	물론
물 질	물질
勿課藥	勿誤藥
물링	물렁
므 	므
므 로	므로
므 로 	므로 
므\^ 	므로 
米\?甘	米泔
糜爛	穈爛
眉稜	眉陵
眉梭	眉稜
眉梭骨	眉稜骨
梶圓	橢圓
梶子	梔子
彌中景	張仲景
尾紙	尾骶
미지 황	미지황
眉稷	眉陵
眉稷	眉稜
味툴 	味를 
민김	민감
민들어	만들어
믿 	믿
밀 접	밀접
蜜塞	壅塞
蜜盛	壅盛
蜜炎	蜜炙
蜜陰	竅陰
蜜滯	壅滯
蜜閉	壅閉
밀해	말해
蜜血	鬱血
및	 및 
및  	및 
밑등	밑둥
바 깥	바깥
바 닥	바닥
바 란	바란
바 른	바른
바로그	바로 그
바로위	바로 위
剥	剝
밖 의	밖의 
攀	攣
攀 	攣
반 대	반대
반 드	반드
반 리비도	반리비도
반 복	반복
반 응	반응
半 夏	半夏
攀結	鬱結
攀急	攣急
斑疼	斑疹
攀發	鬱發
搬粉	澱粉
潘盛	燔盛
潘養	濡養
攀摇	攣搐
반웅	반응
攀閉	鬱閉
받 	받
받of	받아
받이#여	받아들여
받이#이	받아들이
받이\"	받아
받이•	받아
발 가락	발가락
발 견	발견
발 달	발달
拔 滅	拔鍼
발 목	발목
발 병	발병
발 생	발생
발 작	발작
발 전	발전
發疼	發疹
發로	竅로
발로서 있	발로 서 있
拔滅	拔鍼
發渗	發疹
발생 하	발생하
拔誠	拔鍼
拔爷	茯苓
發彦	發疹
發彥	發疹
撥竹	攢竹
밝 	밝
밝하	밝히
庞	疣
膀 胱	膀胱
방 법	방법
방 사	방사
방 식	방식
방 지	방지
방 향	방향
肪間	肋間
防驚	防禦
膀胱命	膀胱兪
防禁	防禦
防己易	防己湯
방둥통	방풍통
방뚱통	방풍통
방뚱통성	방풍통성
膀傍	臍傍
방법을 사\^하	방법을 사용하
膀邊	臍邊
膀部	臍部
방사 통	방사통
膀上悸	臍上悸
膀腕	膀胱
膀犹	膀胱
妨維	紡錐
防已	防己
妨鍾形	紡錐形
膀左	臍左
방줌통성	방풍통성
膀脫	膀胱
膀脱	膀胱
膀耽	膀胱
방품통	방풍통
방풍통 성 산	방풍통성산
膀下	臍下
膀下悸	臍下悸
膀下怪	膀下悸
膀恍	膀胱
배 꼽	배꼽
配 伍	配伍
배 출	배출
배 합	배합
配 合	配合
配 穴	配穴
培乾	焙乾
排膽	排膿
排騰	排膿
排膜	排膿
背命	背兪
背毛	茸毛
排腹筋	腓腹筋
排腸筋	腓腸筋
白 ： E	白芷
白 求	白朮
白 色	白色
白 芍	白芍
白 朮	白朮
백 태	백태
白 蔽	白蘞
白:！ti	白朮
白:£	白芷
白:E	白芷
白；E	白芷
白S	白芨
白Tit	白朮
白Ttfc	白朮
白苦	白苔
白求	白朮
白答	白苔
白戴	白酨
白獨	白濁
白攀	白礬
白菩	白苔
白賦	白膩
白宣寇	白荳蔲
白与	白芍
白醫	白翳
白才L	白朮
白척	白芍
白遷霞	白彊蠶
白朮 天麻湯	白朮天麻湯
白蔽	白蘞
白포	白芷
白표	白芨
柏皮	栢皮
白효	白芷
백희	백회
버 리	버리
繁 甲	鱉甲
번 째	번째
繁甲	鱉甲
煩宽	煩寃
幡蔑	蟠蔥
煩憑	煩懣
繁舌本	繫舌本
番誠	番鍼
繁於	繫於
煩潤	煩瞤
繁張	緊張
煩淨	煩悸
幡葱	蟠葱
煩择	煩悸
蕃했仁	薏苡仁
繁血	鱉血
범 위	범위
법게	볍게
벗 	벗
僻囊	澼囊
僻地	擗地
변 비	변비
邊 緣	邊緣
변 화	변화
辨if	辨證
辨it	辨證
辨m	辨證
變積	鬱積
변중	변증
변증\(辨譜	변증(辨證)
변증과치료	변증과 치료
變滯	鬱滯
變血	瘀血
변회	변화
별 히	별히
별에 말	볕에 말
併	倂
餅	餠
병 리	병리
병 변	병변
병 원	병원
병 적인	병적인
병 형 분류	병형 분류
病A	病人
병형분류	병형 분류
辅	輔
보 감	보감
보 다 	보다 
보 면 	보면 
補 法	補法
보 여	보여
보 통	보통
보 혈	보혈
보깅	보강
보디는	보다는
補滅	補鍼
菩白	苔白
補誠	補鍼
譜語	譫語
補醫	補腎
菩焦	苔焦
補賢	補腎
福	樞
복 근	복근
복 력	복력
복 령	복령
복 부	복부
腹 部	腹部
복 사	복사
복 용	복용
服 用	服用
